TitleAbrevated	Fulltitle
ÖKOL. WIRTSCH.	ÖKOLOGISCHES WIRTSCHAFTEN
ONLINE, ADL-NACHR.	ONLINE, ADL-NACHRICHTEN
OPEN FOR. SCI. J.	OPEN FOREST SCIENCE JOURNAL
OPERA BOT.	OPERA BOTANICA
OPT. EXPRESS	OPTICS EXPRESS
ORG. GEOCHEM.	ORGANIC GEOCHEMISTRY
ORGANISATOR	ORGANISATOR
ORGAN. BEHAV. HUM. DECIS. PROCESS.	ORGANIZATIONAL BEHAVIOUR AND HUMAN DECISION PROCESSES
ORGAN. RES. METHODS	ORGANIZATIONAL RESEARCH METHODS
ORGANOHALOG. COMPD.	ORGANOHALOGEN COMPOUNDS
ORNIS FENN.	ORNIS FENNICA
ORNIS SCAND.	ORNIS SCANDINAVICA
ORNITHOL. ABH.	ORNITHOLOGISCHE ABHANDLUNGEN
ORNITHOL. BEOB.	ORNITHOLOGISCHE BEOBACHTER
ORNITHOL. JAHRESH. BADEN-WÜRTT.	ORNITHOLOGISCHE JAHRESHEFTE FÜR BADEN-WÜRTTEMBERG
ORNITHOL. MITT.	ORNITHOLOGISCHE MITTEILUNGEN
ORNITHOL. MON.BER.	ORNITHOLOGISCHE MONATSBERICHTE
ORNITHOL. ANZ.	ORNITHOLOGISCHER ANZEIGER
ORNITHOL. RD.BR. MECKLENBG.-VORPOMMERN	ORNITHOLOGISCHER RUNDBRIEF FÜR MECKLENBURG-VORPOMMERN
ÖSTERR. BOT. Z.	ÖSTERREICHISCHE BOTANISCHE ZEITSCHRIFT
ÖSTERR. FORSTZTG.	ÖSTERREICHISCHE FORSTZEITUNG
ÖSTERR. ING. ARCHIT.-Z.	ÖSTERREICHISCHE INGENIEUR- UND ARCHITEKTEN-ZEITSCHRIFT
PAC. SCI.	PACIFIC SCIENCE
PAGES NEWS	PAGES NEWS
PALAEOGEOGR. PALAEOCLIMATOL. PALAEOECOL.	PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY
PALAEONTOL. ELECTRON.	PALAEONTOLOGIA ELECTRONICA
PALÄOKLIMAFORSCHUNG	PALÄOKLIMAFORSCHUNG
PALEOCLIM. RES.	PALEOCLIMATE RESEARCH
PAP. LAB. TREE RING RES.	PAPERS OF THE LABORATORY OF TREE RING RESEARCH
PAP. MICH. ACAD. SCI. ARTS LETT.	PAPERS OF THE MICHIGAN ACADEMY OF SCIENCE, ARTS AND LETTERS
PATTERN RECOGNIT.	PATTERN RECOGNITION
PBMD-BULL.	PBMD-BULLETIN
PEATLANDS INT.	PEATLANDS INTERNATIONAL
PEDOSPHERE	PEDOSPHERE
PEERJ	PEERJ
PERCEPT. PSYCHOPHYS.	PERCEPTION AND PSYCHOPHYSICS
PERMAFROST PERIGLACIAL PROCESS.	PERMAFROST AND PERIGLACIAL PROCESSES
PERS. UBIQUIT. COMPUT.	PERSONAL AND UBIQUITOUS COMPUTING
PERS. INDIVID. DIFFER.	PERSONALITY AND INDIVIDUAL DIFFERENCES
PERSPECT. PLANT ECOL. EVOL. SYST.	PERSPECTIVES IN PLANT ECOLOGY, EVOLUTION AND SYSTEMATICS
PFLANZENSCHUTZ-NACHR. BAYER	PFLANZENSCHUTZ-NACHRICHTEN BAYER
PHILOS. TRANS. R. SOC. B	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B
PHILOS. TRANS. R. SOC. LOND.	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON
PHOTOCHEM. PHOTOBIOL.	PHOTOCHEMISTRY AND PHOTOBIOLOGY
PHOTOGRAMM. ENG. REMOTE SENS.	PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING
PHOTOGRAMM. REC.	PHOTOGRAMMETRIC RECORD
PHOTOGRAMM. FERNERKUND. GEOINF.	PHOTOGRAMMETRIE, FERNERKUNDUNG, GEOINFORMATION
PHOTOSYNTHETICA	PHOTOSYNTHETICA
PHYS. GEOGR.	PHYSICAL GEOGRAPHY
PHYS. REV. E	PHYSICAL REVIEW E
PHYS. REV. LETT.	PHYSICAL REVIEW LETTERS
PHYS. CHEM. EARTH	PHYSICS AND CHEMISTRY OF THE EARTH
PHYS. LETT. A	PHYSICS LETTERS A
PHYS. FLUIDS	PHYSICS OF FLUIDS
PHYS. WORLD	PHYSICS WORLD
PHYS. BL.	PHYSIKALISCHE BLÄTTER
PHYS. UNSERER ZEIT	PHYSIK IN UNSERER ZEIT
PHYSIOL. PLANT.	PHYSIOLOGIA PLANTARUM
PHYSIOL. MOL. PLANT PATHOL.	PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY
PHYSIOL. ENTOMOL.	PHYSIOLOGICAL ENTOMOLOGY
PHYSIOL. PLANT PATHOL.	PHYSIOLOGICAL PLANT PATHOLOGY
PHYS. GEOGR.	PHYSISCHE GEOGRAPHIE
PHYTOCHEMISTRY	PHYTOCHEMISTRY
PHYTOCOENOLOGIA	PHYTOCOENOLOGIA
PHYTON	PHYTON
PHYTOPATHOL. Z.	PHYTOPATHOLOGISCHE ZEITSCHRIFT
PHYTOPATHOLOGY	PHYTOPATHOLOGY
PLAN	PLAN
PLAN. DES.	PLANNING AND DESIGN
PLANT CELL PHYSIOL.	PLANT AND CELL PHYSIOLOGY
PLANT SOIL	PLANT AND SOIL
PLANTA	PLANTA
PLANT BIOL.	PLANT BIOLOGY
PLANT BIOSYST.	PLANT BIOSYSTEMS
PLANT CELL ENVIRON.	PLANT, CELL AND ENVIRONMENT
PLANT DIS.	PLANT DISEASE
PLANT ECOL.	PLANT ECOLOGY
PLANT ECOL. DIVERS.	PLANT ECOLOGY AND DIVERSITY
PLANT J.	PLANT JOURNAL
PLANT MOL. BIOL. REPORT.	PLANT MOLECULAR BIOLOGY REPORTER
PLANT PHYSIOL. BIOCHEM.	PLANT PHYSIOLOGY AND BIOCHEMISTRY
PLANT PHYSIOL.	PLANT PHYSIOLOGY
PLANT SPECIES BIOL.	PLANT SPECIES BIOLOGY
PLANT SYST. EVOL.	PLANT SYSTEMATICS AND EVOLUTION
PLEIONE	PLEIONE
PLOS ONE	PLOS ONE
PLOS PATHOG.	PLOS PATHOGENES
POLAR BIOL.	POLAR BIOLOGY
POLAR RES.	POLAR RESEARCH
POLICY SCI.	POLICY SCIENCES
POL. BOT. STUD.	POLISH BOTANICAL STUDIES
POL. ECOL. STUD.	POLISH ECOLOGICAL STUDIES
POL. J. ECOL.	POLISH JOURNAL OF ECOLOGY
POL. J. ENVIRON. STUD.	POLISH JOURNAL OF ENVIRONMENTAL STUDIES
POLIT. PSYCHOL.	POLITICAL PSYCHALOGY
POLIT. SCI. POLIT.	POLITICAL SCIENCE AND POLITICS
POLIT. ÖKOL.	POLITISCHE ÖKOLOGIE
POLLEN SPORES	POLLEN ET SPORES
POPUL. ENVIRON.	POPULATION AND ENVIRONMENT
POPUL. ECOL.	POPULATION ECOLOGY
PRAKT. FORSTWIRT SCHWEIZ	PRAKTISCHE FORSTWIRT FÜR DIE SCHWEIZ
PROCEDIA ENG.	PROCEDIA ENGINEERING
PROCEDIA SOC. BEHAV. SCI.	PROCEDIA SOCIAL AND BEHAVIORAL SCIENCES
PROC. INT. CONGR. ECOL.	PROCEEDINGS OF THE INTERNATIONAL CONGRESS OF ECOLOGY
PROC. INT. SYMP. BOREAL FOR.	PROCEEDINGS OF THE INTERNATIONAL SYMPOSIUM ON BOREAL FOREST
PROC. LINN. SOC. N. S. W.	PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES
PROC. NATL. ACAD. SCI. U.S.A.	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCE OF THE UNITED STATES OF AMERICA
PROC. R. IR. ACAD.	PROCEEDINGS OF THE ROYAL IRISH ACADEMY
PROC. R. SOC. LOND.	PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON
PROC. SOIL SCI. SOC. AM.	PROCEEDINGS OF THE SOIL SCIENCE SOCIETY OF AMERICA
PROC. ZOOL. SOC. LOND.	PROCEEDINGS OF THE ZOOLOGICAL SOCIETY OF LONDON
PROF. GEOGR.	PROFESSIONAL GEOGRAPHER
PROG. BIOMETEOROL.	PROGRESS IN BIOMETEOROLOGY
PROG. BOT.	PROGRESS IN BOTANY
PROG. HUM. GEOGR.	PROGRESS IN HUMAN GEOGRAPHY
PROG. PHYS. GEOGR.	PROGRESS IN PHYSICAL GEOGRAPHY
PROGRESS. REI BOT.	PROGRESSUS REI BOTANICAE
PROT. NAT.	PROTECTION DE LA NATURE
PROTIST	PROTIST
PSYCHE	PSYCHE
PSYCHOL. BULL.	PSYCHOLOGICAL BULLETIN
PSYCHOL. HEALTH	PSYCHOLOGY AND HEALTH
PUBBL. CENT. SPER. AGRIC. FOR.	PUBBLICAZIONI DEL CENTRO DI SPERIMENTAZIONE AGRICOLA E FORESTALE
PUBLIC HEALTH FORUM	PUBLIC HEALTH FORUM
PUBLIC HIST. REV.	PUBLIC HISTORY REVIEW
PUBLIC OPIN. Q.	PUBLIC OPINION QUARTERLY
PUBL. DTSCH. GES. PHOTOGRAMM. FERNERKUND. GEOINF.	PUBLIKATIONEN DER DEUTSCHEN GESELLSCHAFT FÜR PHOTOGRAMMETRIE, FERNERKUNDUNG UND GEOINFORMATIONEN
Q. BULL. INT. ASSOC. AGRIC. INF. SPEC.	QUARTERLY BULLETIN OF THE INTERNATIONAL ASSOCIATION OF AGRICULTURAL INFORMATION SPECIALISTS
Q. J. ENG. GEOL. HYDROGEOL.	QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY
Q. J. FOR.	QUARTERLY JOURNAL OF FORESTRY
Q. J. R. METEOROL. SOC.	QUARTERLY JOURNAL OF THE ROYAL METEEOROLOGICAL SOCIETY
Q. REV. BIOL.	QUARTERLY REVIEW OF BIOLOGY
QUAT.	QUATERNAIRE
QUAT. INT.	QUATERNARY INTERNATIONAL
QUAT. RES.	QUATERNARY RESEARCH
QUAT. SCI. REV.	QUATERNARY SCIENCE REVIEWS
RADIAT. PROT. DOSIMETR.	RADIATION PROTECTION DOSIMETRY
RADIOCARBON	RADIOCARBON
RADIOCHIM. ACTA	RADIOCHIMICA ACTA
RANGELAND ECOL. MANAGE.	RANGELAND ECOLOGY AND MANAGEMENT
RAPID COMMUN. MASS SPECTROM.	RAPID COMMUNICATIONS IN MASS SPECTROMETRY
RAUMFORSCH. RAUMORDN.	RAUMFORSCHUNG UND RAUMORDNUNG
RAUMPLAN., INF.H.	RAUMPLANUNG, INFORMATIONSHEFTE
RECHERCHE	RECHERCHE
RECH. AGRON. SUISSE	RECHERCHE AGRONOMIQUE SUISSE
REFA-NACHR.	REFA-NACHRICHTEN
REG. BASIL.	REGIO BASILIENSIS
REG. ENVIRON. CHANG.	REGIONAL ENVIRONMENTAL CHANGE
REG. STUD.	REGIONAL STUDIES
RELIAB. ENG. SYST. SAF.	RELIABILITY ENGINEERING AND SYSTEM SAFETY
REMOTE SENS. LETT.	REMOTE SENSING LETTERS
REMOTE SENS. ENVIRON.	REMOTE SENSING OF ENVIRONMENT
REMOTE SENS.	REMOTE SENSING
REMOTE SENS. SER.	REMOTE SENSING SERIES
RENEW. ENERGY	RENEWABLE ENERGY
RENEW. SUSTAINABLE ENERGY REV.	RENEWABLE & SUSTAINABLE ENERGY REVIEWS
REP. KEVO SUBARCT. RES. STN.	REPORTS FROM THE KEVO SUBARCTIC RESEARCH STATION
RES. BULL. COLL. EXP. FOR., HOKKAIDO UNIV.	RESEARCH BULLETINS OF THE COLLEGE EXPERIMENT FORESTS, HOKKAIDO UNIVERSITY
RES. POPUL. ECOL.	RESEARCHES ON POPULATION ECOLOGY
RES. ECON. ANTHROPOL.	RESEARCH IN ECONOMIC ANTHROPOLOGY
RES. LIFE SCI.	RESEARCH IN LIFE SCIENCES
RES. MICROBIOL.	RESEARCH IN MICROBIOLOGY
RES. PAP. USDA FOR. SERV.	RESEARCH PAPER USDA FOREST SERVICE
RESOUR. ENERGY ECON.	RESOURCE AND ENERGY ECONOMICS
RESTOR. ECOL.	RESTORATION ECOLOGY
REV. ECON.	REVIEW OF ECONOMICS
REV. PALAEOBOT. PALYNOL.	REVIEW OF PALAEOBOTANY AND PALYNOLOGY
REV. PLANT PATHOL.	REVIEW OF PLANT PATHOLOGY
REV. GEOPHYS.	REVIEWS OF GEOPHYSICS
REV. CHIL. HIST. NAT.	REVISTA CHILENA DE HISTORIA NATURAL
REV. BIOL. TROP.	REVISTA DE BIOLOGIA TROPICAL
REV. TELEDETECCION	REVISTA DE TELEDETECCION
REV. PERU. GEO-ATMOS.	REVISTA PERUANA GEO-ATMOSFERICA
REV. BRYOL. LICHÉNOL.	REVUE BRYOLOGIQUE ET LICHÉNOLOGIQUE
REV. CAN. RECH. FOR.	REVUE CANADIENNE DE RECHERCHE FORESTIÈRE
REV. ARCHÉOM.	REVUE D'ARCHÉOMETRIE
REV. GEOGR. ALP.	REVUE DE GÉOGRAPHIE ALPINE
REV. RECH. SERV. CAN. FOR.	REVUE DE RECHERCHES DU SERVICE CANADIEN DES FORÊTS
REV. EAUX FOR.	REVUE DES EAUX ET FORÊTS
REV. BOIS APPL.	REVUE DU BOIS ET DE SES APPLICATIONS
REV. FOR. FR.	REVUE FORESTIÈRE FRANÇAISE
REV. GEN. BOT.	REVUE GÉNÉRALE DE BOTANIQUE
REV. MENS. MUS. COLLECT. VILLE GENÈVE	REVUE MENSUELLE DES MUSÉES ET COLLECTIONS DE LA VILLE GENÈVE
REV. SUISSE AGRIC.	REVUE SUISSE D'AGRICULTURE
REV. SUISSE VITIC. ARBORIC. HORTIC.	REVUE SUISSE DE VITICULTURE ARBORICULTURE HORTICULTURE
REV. SUISSE ZOOL.	REVUE SUISSE DE ZOOLOGIE
REV. SUISSE HYDROL.	REVUE SUISSE D'HYDROLOGIE
RISK ANAL.	RISK ANALYSIS
RIVER RES. APPL.	RIVER RESEARCH AND APPLICATIONS
RIV. ITAL. TELERILEVAMENTO	RIVISTA ITALIANA DI TELERILEVAMENTO
ROCKY MT. FOR. RANGE EXP. STN., FOR. SER.	ROCKY MOUNTAIN FOREST AND RANGE EXPERIMENT STATION, FOREST SERIES
RUNDGESPR. KOMM. ÖKOL.	RUNDGESPRÄCHE DER KOMMISSION FÜR ÖKOLOGIE
RUSS. J. ECOL.	RUSSIAN JOURNAL OF ECOLOGY
SAH BULL.	SAH BULLETIN
SALAMANDRA	SALAMANDRA
SÄUGETIERKD. MITT.	SÄUGETIERKUNDLICHE MITTEILUNGEN
SAUSSUREA	SAUSSUREA
SAUTERIA	SAUTERIA
SCAND. HOUS. PLAN. RES.	SCANDINAVIAN HOUSING AND PLANNING RESEARCH
SCAND. J. FOR. RES.	SCANDINAVIAN JOURNAL OF FOREST RESEARCH
SCAND. J. HOSP. TOUR.	SCANDINAVIAN JOURNAL OF HOSPITALITY AND TOURISM
SCAND J. MED. SCI. SPORTS	SCANDINAVIAN JOURNAL OF MEDICINE AND SCIENCE IN SPORTS
SCAND. J. PSYCHOL.	SCANDINAVIAN JOURNAL OF PSYCHOLOGY
SCAND. J. STAT.	SCANDINAVIAN JOURNAL OF STATISTICS
SCHR. FORSTL. FAK. UNIV. GÖTT. NIEDERSÄCHS. FORSTL. VERS.ANST.	SCHRIFTEN AUS DER FORSTLICHEN FAKULTÄT DER UNIVERSITÄT GÖTTINGEN UND DER NIEDERSÄCHSISCHEN FORSTLICHEN VERSUCHSANSTALT
SCHR.REIHE BAYER. LANDESAMT UMWELTSCHUTZ	SCHRIFTENREIHE BAYERISCHES LANDESAMT FÜR UMWELTSCHUTZ
SCHR.REIHE BAD. FORSTL. VERS.ANST., FREIBG.	SCHRIFTENREIHE DER BADISCHEN FORSTLICHEN VERSUCHSANSTALT FREIBURG
SCHR.REIHE FORSTWISS. FAK. ALBERT-LUDWIGS-UNIV. FREIBG. I.B.	SCHRIFTENREIHE DER FORSTWISSENSCHAFTLICHEN FAKULTÄT DER ALBERT-LUDWIGS-UNIVERSITÄT FREIBURG I. BR.
SCHR.REIHE LANDESANST. ÖKOL. LANDSCH.ENTWICKL. FORSTPLAN. NORDRH.-WESTFAL.	SCHRIFTENREIHE DER LANDESANSTALT FÜR ÖKOLOGIE, LANDSCHAFTSENTWICKLUNG UND FORSTPLANUNG NORDRHEIN-WESTFALEN
SCHR.REIHE LANDESFORSTVERWALT. BADEN-WÜRTT.	SCHRIFTENREIHE DER LANDESFORSTVERWALTUNG BADEN-WÜRTTEMBERG
SCHR.REIHE LANDESSTELLE NAT.SCHUTZ LANDSCH.PFL. NORDRH.-WESTFAL.	SCHRIFTENREIHE DER LANDESSTELLE FÜR NATURSCHUTZ UND LANDSCHAFTSPFLEGE IN NORDRHEIN-WESTFALEN
SCHR.REIHE AMT UMWELTSCHUTZ	SCHRIFTENREIHE DES AMTES FÜR UMWELTSCHUTZ
SCHR.REIHE BAYER. STAATSMINIST. ERNÄHR. LANDWIRTSCH. FORSTEN	SCHRIFTENREIHE DES BAYERISCHEN STAATSMINISTERIUMS FÜR ERNÄHRUNG, LANDWIRTSCHAFT UND FORSTEN
SCHR.REIHE DTSCH. RAT LANDESPFL.	SCHRIFTENREIHE DES DEUTSCHEN RATES FÜR LANDESPFLEGE
SCHR.REIHE INST. LANDESPFL. UNIV. FREIBG.	SCHRIFTENREIHE DES INSTITUTES FÜR LANDESPFLEGE DER UNIVERSITÄT FREIBURG
SCHR.REIHE LANDSCH.PFL. NAT.SCHUTZ	SCHRIFTENREIHE FÜR LANDSCHAFTSPFLEGE UND NATURSCHUTZ
SCHR.REIHE VEG.KD.	SCHRIFTENREIHE FÜR VEGETATIONSKUNDE
SCHR.REIHE LEBENSRAUM VORARLBERG	SCHRIFTENREIHE LEBENSRAUM VORARLBERG
SCHR.REIHE UMW.	SCHRIFTENREIHE UMWELT
SCHR. FORST- UMWELTÖKON.	SCHRIFTEN ZUR FORST- UND UMWELTÖKONOMIE
SCHWEIZ. ARCH. TIERHEILKD.	SCHWEIZER ARCHIV DER TIERHEILKUNDE
SCHWEIZ. FÖRSTER	SCHWEIZER FÖRSTER
SCHWEIZ. HOLZ-BÖRSE	SCHWEIZER HOLZ-BÖRSE
SCHWEIZ. HOLZ-REV.	SCHWEIZER HOLZ-REVUE
SCHWEIZ. HOLZWIRTSCH.	SCHWEIZER HOLZWIRTSCHAFT
SCHWEIZ. HOLZZTG.	SCHWEIZER HOLZZEITUNG
SCHWEIZ. ING. ARCHIT.	SCHWEIZER INGENIEUR UND ARCHITEKT
SCHWEIZ. BEITR. DENDROL.	SCHWEIZERISCHE BEITRÄGE ZUR DENDROLOGIE
SCHWEIZ. GES. PHYTOMED., INFO	SCHWEIZERISCHE GESELLSCHAFT FÜR PHYTOMEDIZIN, INFO
SCHWEIZ. INTERESSENGEM. IND.HOLZ, ANLEIT.	SCHWEIZERISCHE INTERESSENGEMEINSCHAFT INDUSTRIEHOLZ, ANLEITUNG
SCHWEIZ. LANDWIRTSCH. FORSCH.	SCHWEIZERISCHE LANDWIRTSCHAFTLICHE FORSCHUNG
SCHWEIZ. STÄDTEVERB. FOCUS	SCHWEIZERISCHER STÄDTEVERBAND, FOCUS
SCHWEIZ. ARCH. VOLKSKD.	SCHWEIZERISCHES ARCHIV FÜR VOLKSKUNDE
SCHWEIZ. SCHREINERZTG.	SCHWEIZERISCHE SCHREINERZEITUNG
SCHWEIZ. Z. FORSTWES.	SCHWEIZERISCHE ZEITSCHRIFT FÜR FORSTWESEN
SCHWEIZ. Z. HYDROL.	SCHWEIZERISCHE ZEITSCHRIFT FÜR HYDROLOGIE
SCHWEIZ. Z. PILZKD.	SCHWEIZERISCHE ZEITSCHRIFT FÜR PILZKUNDE
SCHWEIZ. Z. VOLKSWIRTSCH. STAT.	SCHWEIZERISCHE ZEITSCHRIFT FÜR VOLKSWIRTSCHAFT UND STATISTIK
SCHWEIZ. JÄGER	SCHWEIZER JÄGER
SCHWEIZ. LANDTECH.	SCHWEIZER LANDTECHNIK
SCHWEIZ. NAT.SCHUTZ	SCHWEIZER NATURSCHUTZ
SCHWEIZ. WALD	SCHWEIZER WALD
SCI. SOL	SCIENCE DU SOL
SCI. TOTAL ENVIRON.	SCIENCE OF THE TOTAL ENVIRONMENT
SCIENCE	SCIENCE
SCI. TECHNOL. SOC.	SCIENCE, TECHNOLOGY AND SOCIETY
SCI. HORTIC.	SCIENTIA HORTICULTURAE
SCI. AM.	SCIENTIFIC AMERICAN
SCI. REP.	SCIENTIFIC REPORTS
SCIENZE	SCIENZE
SCOTT. FOR.	SCOTTISH FORESTRY
SCR. GEOBOT.	SCRIPTA GEOBOTANICA
SCR. HORTIC.	SCRIPTA HORTICULTURAE
SCR. MATER.	SCRIPTA MATERIALIA
SENSORS	SENSORS
SERV. RECH. TERRES FOR., QUÉ.	SERVICE DE LA RECHERCHE TERRES ET FORÊTS, QUÉBEC
SGU-BULL.	SGU-BULLETIN
SHERWOOD	SHERWOOD
SILVAE GENET.	SILVAE GENETICA
SILVA FENN.	SILVA FENNICA
SMALL-SCALE FOR. ECON. MANAGE. POLICY	SMALL-SCALE FOREST ECONOMICS, MANAGEMENT AND POLICY
SOC. ITAL. ECOL., ATTI	SOCIETÀ ITALIANA DI ECOLOGIA, ATTI
SOC. CONTEMP.	SOCIÉTÉS CONTEMPORAINES
SOC. NAT. RESOUR.	SOCIETY AND NATURAL RESOURCES
SOC. EXP. BIOL. SEMIN. SER.	SOCIETY FOR EXPERIMENTAL BIOLOGY SEMINAR SERIES
SOCIOL. RURALIS	SOCIOLOGIA RURALIS
SOCIOL. FORUM	SOCIOLOGICAL FORUM
SOFT MATTER	SOFT MATTER
SOIL TILLAGE RES.	SOIL AND TILLAGE RESEARCH
SOIL BIOL. BIOCHEM.	SOIL BIOLOGY AND BIOCHEMISTRY
SOIL BIOL.	SOIL BIOLOGY
SOILS FOUND.	SOILS AND FOUNDATIONS
SOIL SCI. PLANT NUTR.	SOIL SCIENCE AND PLANT NUTRITION
SOIL SCI.	SOIL SCIENCE
SOIL SCI. SOC. AM. J.	SOIL SCIENCE SOCIETY OF AMERICA JOURNAL
SOLUTIONS J.	SOLUTIONS JOURNAL
S. AFR. J. SCI.	SOUTH AFRICAN JOURNAL OF SCIENCE
SOUTHEAST. GEOGR.	SOUTHEASTERN GEOGRAPHER
SOUTHEAST. GEOL.	SOUTHEASTERN GEOLOGY
SOUTHWEST. NAT.	SOUTHWESTERN NATURALIST
SOV. J. ECOL.	SOVIET JOURNAL OF ECOLOGY
SOZIAL. FORSTWIRTSCH.	SOZIALISTISCHE FORSTWIRTSCHAFT
SPEEDUP	SPEEDUP
SPEKTRUM WISS.	SPEKTRUM DER WISSENSCHAFT
SPORTS ENG.	SPORTS ENGINEERING
STAIN TECHNOL.	STAIN TECHNOLOGY
STAPFIA	STAPFIA
STAT. PAP.	STATISTICAL PAPERS
STAT. JAHRB. SCHWEIZ	STATISTISCHES JAHRBUCH DER SCHWEIZ
STIFT. REUSSTAL, JAHRESBER.	STIFTUNG REUSSTAL, JAHRESBERICHT
STRUCT. CHANG. ECON. DYN.	STRUCTURAL CHANGE AND ECONOMIC DYNAMICS
STRUCT. ENG. INT.	STRUCTURAL ENGINEERING INTERNATIONEL
STUD. FOR. SUEC.	STUDIA FORESTALIA SUECICA
STUD. TROP. ANDEAN ECOSYST.	STUDIES ON TROPICAL ANDEAN ECOSYSTEMS
STUD. TRENTINI SCI. NAT. ACTA BIOL.	STUDI TRENTINI DI SCIENZE NATURALI ACTA BIOLOGICA
STUTTG. BEITR. NAT.KD.	STUTTGARTER BEITRÄGE ZUR NATURKUNDE
SUBST. USE MISUSE	SUBSTANCE USE AND MISUSE
SUSTAINABILITY: SCI. PRACT. POLICY	SUSTAINABILITY: SCIENCE PRACTICE & POLICY
SVEN. BOT. TIDSKR.	SVENSK BOTANISK TIDSKRIFT
SWISS POLIT. SCI. REV.	SWISS POLITICAL SCIENCE REVIEW
SYDOWIA	SYDOWIA
SYMBIOSIS	SYMBIOSIS
SYMB. BOT. UPS.	SYMBOLAE BOTANICAE UPSALIENSES
SYST. BIOL.	SYSTEMATIC BIOLOGY
SYST. ENTOMOL.	SYSTEMATIC ENTOMOLOGY
SYST. RES. BEHAV. SCI.	SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE
TAGES-ANZ. MAG.	TAGES-ANZEIGER MAGAZIN
TAIWAN J. FOR. SCI.	TAIWAN JOURNAL OF FOREST SCIENCE
TALANTA	TALANTA
TANZANIA J. FOR. NAT. CONSERV.	TANZANIA JOURNAL OF FORESTRY AND NATURE CONSERVATION
TÄTIGK.BER. NAT.FORSCH. GES. BASELLAND	TÄTIGKEITSBERICHT DER NATURFORSCHENDEN GESELLSCHAFT BASELLAND
TAXON	TAXON
TECH. REP. FOR. ENG. RES. INST. CAN.	TECHNICAL REPORT FOREST ENGINEERING RESEARCH INSTITUTE OF CANADA
TECH. REP. HYDROL. WATER RESOUR.	TECHNICAL REPORTS IN HYDROLOGY AND WATER RESOURCES
TECH. RUNDSCH.	TECHNISCHE RUNDSCHAU
TECHNOL. REV.	TECHNOLOGY REVIEW
TELLUS SER. B	TELLUS: SERIES B CHEMICAL AND PHYSICAL METEOROLOGY
TELMA	TELMA
TERRE VIE	TERRE ET LA VIE
TERR. INTERJURA.	TERRIEN INTERJURASSIEN
CARTOGR. J.	THE CARTOGRAPHIC JOURNAL
ISME J.	THE ISME JOURNAL
THEOR. APPL. CLIMATOL.	THEORETICAL AND APPLIED CLIMATOLOGY
THEOR. APPL. GENET.	THEORETICAL AND APPLIED GENETICS
THEOR. POPUL. BIOL.	THEORETICAL POPULATION BIOLOGY
THEORY DECIS.	THEORY AND DECISION
THEORY BIOSCI.	THEORY IN BIOSCIENCES
PLANT CELL	THE PLANT CELL
THURG. JAHRB.	THURGAUER JAHRBUCH
TIERÄRZTL. UMSCH.	TIERÄRZTLICHE UMSCHAU
TIMBER BULL. EUR.	TIMBER BULLETIN FOR EUROPE
TOUR. GEOGR.	TOURISM GEOGRAPHIES
TOUR. MANAGE.	TOURISM MANAGEMENT
TOUR. REV.	TOURISM REVIEW
TOXICOL. ENVIRON. CHEM.	TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY
TOXINS	TOXINS
TRANS. GIS	TRANSACTIONS IN GIS
TRANS. BR. MYCOL. SOC.	TRANSACTIONS OF THE BRITISH MYCOLOGICAL SOCIETY
TRANS. INST. BR. GEOGR.	TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS
TRANS. R. SOC. EDINB., EARTH SCI.	TRANSACTIONS OF THE ROYAL SOCIETY OF EDINBURGH, EARTH SCIENCES
TRANSP. RES.	TRANSPORTATION RESEARCH
TRAV. SCI. PARC NATL. VANOISE	TRAVAUX SCIENTIFIQUES DU PARC NATIONAL DE LA VANOISE
TRAV. STN. RECH. EAUX FOR.	TRAVAUX STATION DE RECHERCHES DES EAUX ET FORÊTS
TREE GENET. GENOMES	TREE GENETICS AND GENOMES
TREE PHYSIOL.	TREE PHYSIOLOGY
TREE-RING BULL.	TREE-RING BULLETIN
TREE-RING RES.	TREE-RING RESEARCH
TREES	TREES
TRENDS ECOL. EVOL.	TRENDS IN ECOLOGY AND EVOLUTION
TRENDS PARASITOL.	TRENDS IN PARASITOLOGY
TRENDS PLANT SCI.	TRENDS IN PLANT SCIENCE
TRIBOL. LETT.	TRIBOLOGY LETTERS
TROCHILUS	TROCHILUS
TROP. AGRIC.	TROPICAL AGRICULTURE
TROP. BRYOL.	TROPICAL BRYOLOGY
TÜB. GEOGR. STUD.	TÜBINGER GEOGRAPHISCHE STUDIEN
TUEXENIA	TUEXENIA
UMSCHAU	UMSCHAU
